uncertainty_level,freeze_size,lam,method,seed,total_cost_mean,operational_cost_mean,changed_actions_total,runtime_mean_sec,fallback_rate
low,0,0.5,event_triggered_no_stability,24,7.081018518518519,7.081018518518519,0,0.05659148655831814,1.0
low,0,0.5,event_triggered_no_stability,25,7.010416666666667,7.010416666666667,0,5.950871855020523e-05,1.0
low,0,0.5,event_triggered_no_stability,26,7.080246913580247,7.080246913580247,0,6.232948766814338e-05,1.0
low,0,0.5,event_triggered_no_stability,27,7.0092592592592595,7.0092592592592595,0,6.431672308180068e-05,1.0
low,0,0.5,event_triggered_no_stability,28,7.017857142857143,7.017857142857143,0,6.004316466195243e-05,1.0
low,0,0.5,event_triggered_no_stability,29,7.033333333333334,7.033333333333334,0,6.256736814975738e-05,1.0
low,0,0.5,event_triggered_no_stability,30,7.0,7.0,0,6.151944398880005e-05,1.0
low,0,0.5,event_triggered_no_stability,31,7.0166666666666675,7.0166666666666675,0,0.06111842952668667,1.0
low,0,0.5,event_triggered_no_stability,32,7.128787878787879,7.128787878787879,0,0.05517092685807835,1.0
low,0,0.5,event_triggered_no_stability,33,7.0,7.0,0,6.520872314771016e-05,1.0
low,0,0.5,event_triggered_no_stability,34,7.011904761904761,7.011904761904761,0,5.86429876940591e-05,1.0
low,0,0.5,event_triggered_no_stability,35,7.0586419753086425,7.0586419753086425,0,5.852099921968248e-05,1.0
low,0,0.5,event_triggered_no_stability,36,7.069444444444444,7.069444444444444,0,0.11268058170874913,1.0
low,0,0.5,event_triggered_no_stability,37,7.037878787878787,7.037878787878787,0,0.055085560476238075,1.0
low,0,0.5,event_triggered_no_stability,38,7.0625,7.0625,0,6.0312915593385696e-05,1.0
low,0,0.5,event_triggered_no_stability,39,7.0,7.0,0,5.827719966570536e-05,1.0
low,0,0.5,mpc,20,17.24690684135881,8.052680311890839,48,0.0001336754196219974,0.0
low,0,0.5,mpc,21,24.121472786281803,9.530208333333334,66,0.00013780733570456505,0.0
low,0,0.5,mpc,22,11.519635592375916,6.615,36,0.0001280076801776886,0.0
low,0,0.5,mpc,23,15.221672826323916,7.407952069716775,44,0.00012668801678551568,0.0
low,0,0.5,mpc,24,19.786132204270114,9.699184349212954,78,0.00013689262171586355,0.0
low,0,0.5,mpc,25,8.582469560199174,7.010416666666667,11,0.00012701982632279396,0.0
low,0,0.5,mpc,26,8.594508209239315,4.924768518518518,24,0.00012674182653427124,0.0
low,0,0.5,mpc,27,14.06946101995605,8.00925925925926,37,0.00012871291902330186,0.0
low,0,0.5,mpc,28,19.96093474364024,8.73044217687075,85,0.0001319000231368201,0.0
